,ep_name,face_id,character_name,time,x1,y1,x2,y2,direc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,Empire_S04E01,411.0,Cookie,874.4989999999998,0.398,0.163,0.54,0.414,forward+backward,-0.12985,0.020880000000000003,0.08569,-0.06439,-0.05188,-0.15169000000000002,0.07633,-0.14106,0.17106,-0.08325,0.17722000000000002,-0.09462,-0.25901,-0.02482,-0.09811,0.16719,-0.15937,-0.15744,-0.08795,-0.0364,0.06188,-0.006529999999999999,0.058579999999999986,0.17192000000000002,-0.02959,-0.24715,-0.12357,-0.11165,0.01789,-0.016640000000000002,0.03451,0.10703,-0.19982,-0.08497,0.0399,0.0271,0.00592,-0.08396,0.2129,-0.09501,-0.26516,-0.16026,0.12789,0.25602,0.11525,0.017419999999999998,-0.03393,-0.029710000000000007,-0.02966,-0.24162,-0.04917,0.15405,0.09497,0.06035,-0.0052,-0.23155,0.08964,0.03748,-0.18337,-0.01746,0.03659,-0.13744,-0.04582,-0.02627,0.29138000000000003,0.0672,-0.17595999999999998,-0.11584,0.22685,-0.20191,0.01958,0.09326,-0.13913,-0.16166,-0.22679,-0.07211000000000001,0.44643,0.10007,-0.14534,0.10387,-0.18884,0.033589999999999995,-0.02629,0.14112,-0.06836,0.14861,-0.10003,0.01866,0.07793,-0.06661,-0.01445,0.21979,0.01291,-0.02819,0.05671,0.01398,-0.0242,0.00477,-0.16940999999999998,0.053020000000000005,0.02727,-0.03623,0.01799,0.0828,-0.17256,0.0926,0.05466,-0.05019,-0.03466,0.0407,-0.10047,-0.11306,0.13475,-0.26202,0.16029000000000002,0.18198,0.01034,0.15457,0.02962,0.12287,0.0169,-0.07197,-0.12288,-0.04551,0.11521,-0.09865,0.06713999999999999,0.01797
1,Empire_S04E05,17.0,Tiana,39.539,0.306,0.215,0.4270000000000001,0.431,forward+backward,-0.10311,0.06928,0.10461,-0.0523,-0.1267,-0.05692000000000001,-0.015119999999999996,-0.13172,0.15654,-0.04854,0.26389,-0.07157000000000001,-0.24576,-0.04988,-0.04735,0.22229,-0.1649,-0.18683,0.0163,-0.06969,0.04674,0.01785,0.00656,0.16354000000000002,-0.10842,-0.30322,-0.04418,-0.13946,-0.03777,-0.07627,-0.05694,0.09149,-0.24694,0.01232,0.01196,0.05944,0.02221,-0.04297,0.15269000000000002,0.0418,-0.22934,-0.0597,0.10313,0.21879,0.21118,-0.02601,0.00954,-0.05667000000000001,-0.02746,-0.17961,0.03675,0.11096,0.17839000000000002,0.04193,-0.01957,-0.23053,-0.07282999999999999,0.03533,-0.15303,0.03398,0.0046,-0.11701,-0.05374,-0.09152,0.34576,0.08763,-0.11819,-0.14999,0.15327000000000002,-0.19929,-0.11934000000000003,0.08985,-0.11912,-0.13953,-0.3028,-0.02264,0.28806,0.06875,-0.28545,0.10969,-0.14282999999999998,-0.00298,-0.03698,0.13368,0.02139,0.1523,-0.09676,-0.05994,0.1977,-0.08315,0.03262,0.31239,-0.04217,-0.00965,0.053860000000000005,-0.03885,-0.006940000000000001,-0.04567,-0.12009,-0.1242,-0.10035,-0.056270000000000014,-0.02264,0.02712,-0.31062,0.04663,0.01654,-0.03864,-0.05055,0.02455,-0.08114,-0.12264,0.19014,-0.32767,0.18559,0.17519,0.06492,0.16645,0.03152,0.09799,-0.02804,-0.08649,-0.06555,0.03127,0.11445,-0.11575,0.05849,0.08222
4,Empire_S04E06,160.0,Cookie,259.384,0.445,0.331,0.54,0.5,backward,-0.15839,0.11901,0.0652,-0.12566,-0.17262,-0.013880000000000002,0.03397,-0.13662,0.22423,-0.16604000000000002,0.11839,-0.06671,-0.25352,0.08353,-0.1086,0.20276,-0.13119,-0.19006,-0.09896,-0.06302999999999999,0.03812,0.06952,0.05311,0.13691,-0.05161,-0.25136,-0.06957,-0.08887,0.09497,-0.02899,0.04778,0.05593,-0.23145,-0.04768,0.035789999999999995,0.11314,-0.0111,-0.06927,0.25735,-0.0449,-0.30388000000000004,-0.06719,0.08582999999999999,0.27291,0.12829000000000002,-0.01515,-0.00047,-0.08993999999999999,0.10448,-0.22663000000000005,0.00496,0.10805,0.07927999999999999,0.05015,0.04676,-0.20718000000000006,0.11056,0.10183,-0.16213,0.03406,0.10131,-0.12742,0.00139,-0.030060000000000007,0.28059,0.01393,-0.0973,-0.18338,0.20405,-0.18723,0.00995,0.19072,-0.11268,-0.08227999999999999,-0.2431,-0.07057000000000001,0.4801,0.11002,-0.09731,0.10755,-0.09748,0.02649,0.05276,0.15951,-0.03858,0.07082999999999999,-0.07078,0.03816,0.19907,-0.06677999999999999,-0.04036,0.2415,0.04479,-0.00034,0.01966,0.04622,-0.0763,-0.03036,-0.10085,0.01543,0.014469999999999997,-0.02788,0.01044,0.08639,-0.23245,0.11605,-0.04297,0.01269,-0.0382,0.04578,-0.08144,-0.04742,0.18205,-0.28518000000000004,0.18011,0.17356,-0.08479,0.10605,0.0671,0.08256000000000001,0.04186,-0.0275,-0.14085,-0.08667000000000001,0.11915,-0.11872,0.10049,0.04515
5,Empire_S04E06,698.0,Cookie,682.056,0.745,0.386,0.8909999999999999,0.6459999999999999,forward+backward,-0.14309000000000002,0.05876,-0.01267,-0.05217,-0.0493,-0.16764,0.03304,-0.14395,0.19422,-0.0144,0.13990999999999998,-0.04857,-0.22907,-0.034730000000000004,-0.07351,0.13978,-0.16415,-0.17293,-0.03847,-0.05408,0.11228,0.017,0.06256,0.1861,-0.0436,-0.25194,-0.09055,-0.1633,-0.0014199999999999998,-0.02938,0.1197,0.10471,-0.19776,-0.08071,0.09582,0.03565,0.03051,-0.10406,0.25824,-0.09236,-0.26837,-0.16286,0.09705,0.23859,0.14175,0.02613,-0.01366,-0.0493,0.06058,-0.23046,-0.02685,0.18849,0.02238,0.03837,0.01136,-0.21487,0.09979,0.07149,-0.22641,-0.04956,-0.00035,-0.1218,-0.02325,-0.01173,0.26983,0.07948,-0.12941,-0.10812,0.21185,-0.21881,-0.030660000000000007,0.11754,-0.1503,-0.20233,-0.20715,-0.0789,0.45935,0.10702,-0.12618,0.16297,-0.13672,0.04022,0.03178,0.14288,-0.02829,0.10328,-0.07384,-0.02384,0.15903,-0.02769,-0.07662000000000001,0.22312,-0.02961,-0.01344,0.08457,0.01191,0.01669,-0.01434,-0.12642,-0.01201,0.04082,0.0014199999999999998,0.0076900000000000015,0.08454,-0.20282,0.04965,0.03145,-0.01041,-0.0603,0.02162,-0.058920000000000014,-0.07559,0.12824000000000002,-0.25545,0.25292,0.14054,-0.03957,0.19505,-0.00763,0.09722,0.02875,-0.10998,-0.11832,-0.06881,0.12607000000000002,-0.006640000000000001,0.09071,-0.01855
7,Empire_S04E05,200.0,Lucious,443.818,0.431,0.28600000000000003,0.598,0.583,backward,-0.15058,0.09257,0.1225,0.01075,0.00117,-0.06296,-0.05689,-0.09567,0.14664000000000002,-0.0701,0.29343,0.03197,-0.10543,-0.17073,0.03129,0.09232,-0.0971,-0.14307999999999998,-0.02627,-0.05263,0.049510000000000005,0.02392,0.0132,0.02163,-0.13577999999999998,-0.38673,-0.08738,-0.17040999999999998,0.04545,-0.12313,0.07141,0.06798,-0.16216,0.00045,-0.05369,0.08104,0.03752,0.0114,0.11852,0.02451,-0.13672,-0.05565,-0.06896000000000001,0.24827,0.24757,0.04189,0.08897000000000001,-0.05028,0.06247000000000001,-0.18272,0.01592,0.09375,0.09165,0.04964,0.07101,-0.12169,0.02312,-0.00331,-0.17555,0.07163,0.02126,-0.06094,-0.07479,0.006840000000000001,0.26149,0.05045,-0.09142,-0.12104,0.21198000000000006,-0.15092,-0.09076,0.10972,-0.13208,-0.16510999999999998,-0.26444,0.06466000000000001,0.40733,0.11032,-0.2421,0.06881,-0.14284000000000002,0.02905,0.03253,0.02535,-0.03901,-0.02046,-0.12742,-0.05914,0.20719,0.05319,-0.059279999999999985,0.17944000000000002,-0.06264,0.04359,0.05605,-0.00785,-0.00951,0.02576,-0.0549,-0.09058,0.04574,-0.07101,-0.034260000000000006,0.07695,-0.19229,0.23814,-0.008409999999999999,0.06564,0.03895,0.06529,-0.10962,0.00287,0.19433,-0.24974,0.23569,0.18101,0.06408,0.16492,0.0674,0.12925,-0.07021000000000001,-0.0176,-0.16445,-0.06169,-0.006690000000000001,-0.06661,0.01823,0.04817
8,Empire_S04E03,193.0,Thirsty,485.667,0.41,0.17800000000000002,0.555,0.436,forward,-0.04541,0.173,0.09083,-0.01612,-0.01171,0.03241,-0.00761,-0.06391000000000001,0.18149,-0.13858,0.24201,0.10041,-0.16848,0.00502,0.00236,0.10746,-0.18539,-0.05097,-0.11199,-0.06287000000000001,0.0048,0.11601,0.10195,-0.03939,-0.08295,-0.29111,-0.07053999999999999,-0.09572,0.15359,-0.07942,-0.03313,-0.04187,-0.18343,-0.07087,0.04125,0.00323,-0.04268,-0.01304,0.25866,0.04023,-0.15666,0.060729999999999985,0.03912,0.22254,0.2452,-0.02623,0.0115,-0.09341,0.0765,-0.25092,0.04853,0.10372,0.11573,0.12193,0.03502,-0.15372,-0.01076,0.08714,-0.10758,0.10324,0.10226,-0.07156,0.00703,0.09637,0.18376,0.05997,-0.09815,-0.22508000000000006,0.10678,-0.15855,-0.02064,0.14569,-0.09502,-0.10397,-0.20043,0.04119,0.4047,0.13383,-0.12125,0.01075,-0.17868,-0.04198,0.032260000000000004,0.05868,-0.06537000000000001,-0.06573,-0.03558,0.04498,0.21758,0.01823,-0.1059,0.20182,-0.02064,0.08576,0.028460000000000006,0.04974,-0.11044,-0.04676,-0.11936,-0.05179,-0.0351,-0.10003,0.0099,0.18798,-0.21065,0.19742,-0.08479,-0.00299,0.08776,0.10359000000000003,-0.05872,-0.00277,0.16326,-0.21221,0.2762,0.20059,-0.00831,0.07865,0.09218,0.07476000000000001,0.008159999999999999,0.06396,-0.16444,-0.09112,-0.04211,-0.05816,0.08935,-0.013969999999999998
9,Empire_S04E06,376.0,Anika,356.231,0.18600000000000005,0.192,0.287,0.371,forward,-0.11603,0.11139,0.07997,-0.1189,-0.08837,-0.01568,-0.048310000000000006,-0.11434,0.22816,-0.05125,0.25988,0.00777,-0.30471,-0.03933,-0.07556,0.15327000000000002,-0.16665,-0.18292,-0.02531,0.01891,0.06758,-0.0387,0.04712,0.10047,-0.07174,-0.30087,-0.00236,0.00414,0.05807,-0.04683,-0.00922,0.03003,-0.22875,0.00412,0.04402,0.12985,-0.07525,-0.11823,0.18582,-0.01013,-0.26698,-0.12115,0.02985,0.22871,0.26801,0.0247,-0.00124,-0.10045,0.09484,-0.31312,0.10777,0.19627,0.08819,0.02086,0.06317,-0.24348000000000006,-0.02188,0.19699,-0.15963,0.00441,0.02143,-0.10076,0.0008900000000000002,-0.13296,0.30675,0.15314,-0.18091,-0.14009000000000002,0.16087,-0.14572000000000002,-0.0593,0.06858,-0.13103,-0.1715,-0.28913,-0.00542,0.34678000000000003,0.14759,-0.15678,0.11658,-0.07069,0.051779999999999986,-0.00963,0.15730999999999998,-0.0879,0.09041,-0.10364,-0.08771,0.15952,-0.01212,-0.04874,0.27671,-0.07562,-0.01813,0.056170000000000005,-0.02106,-0.08255,-0.03653,-0.17035,-0.15354,-0.02479,-0.03865,0.0547,0.10756,-0.20768000000000006,0.04909,-0.01935,0.07749,0.07107000000000001,-0.0394,-0.043910000000000005,-0.1249,0.11012,-0.29974,0.24069,0.1028,0.11873,0.16333,0.13230999999999998,0.09398,0.06172,-0.01186,-0.03104,0.012980000000000002,0.04981,-0.042460000000000005,0.13749,0.04312
10,Empire_S04E06,536.0,Cookie,456.4980000000001,0.6729999999999999,0.279,0.818,0.537,detection,-0.07508,0.07907,0.04622,0.01399,-0.0144,-0.16415,-0.00262,-0.17085999999999998,0.23922,-0.09032,0.16565,-0.02238,-0.23225,-0.05109,-0.11905,0.21958000000000005,-0.13073,-0.16833,-0.013069999999999998,-0.05868,0.12001,-0.00026000000000000003,0.0629,0.14967,-0.04529,-0.19521,-0.09741,-0.1557,0.02727,-0.09085,0.04355,0.06052,-0.19846,-0.0332,0.02311,-0.0027600000000000003,0.04996,-0.08536,0.2414,-0.04387,-0.23777,-0.1669,0.04623,0.24377,0.12942,0.00191,0.00038,-0.05914,0.053,-0.22371,-0.06955,0.12735,0.06312999999999999,0.05285,0.00563,-0.21995,0.06436,0.02165,-0.19099,-0.006529999999999999,0.03677,-0.10962,-0.051279999999999985,-0.00339,0.27995,0.0395,-0.1328,-0.0772,0.20052,-0.24558,-0.00242,0.06702999999999999,-0.11269,-0.17884,-0.25622,-0.12574000000000002,0.38533,0.12258,-0.15527,0.14797000000000002,-0.11888,0.058670000000000014,0.03088,0.13394,0.01032,0.15644,-0.09239,-0.02569,0.15442999999999998,-0.09471,0.00512,0.23401,-0.037000000000000005,0.01146,-0.0081,-0.02198,0.00606,-0.01755,-0.10682,0.0273,-0.04895,0.03589,0.01903,0.039810000000000005,-0.17605,0.04539,0.05419,-0.01958,-0.08398,0.06515,-0.12515,-0.10461,0.12778,-0.21877,0.22407,0.17307999999999998,-0.02747,0.13882,-0.00942,0.12847,0.00101,-0.09969,-0.09425,-0.05824,0.07805,-0.08036,0.04883,-0.01067
11,Empire_S04E05,170.0,Cookie,403.57,0.09,0.322,0.3,0.6940000000000001,forward+backward,-0.08619,0.06563,0.03905,-0.06445,-0.0894,-0.13292,0.0456,-0.17849,0.21677,-0.0899,0.15654,-0.02569,-0.18535,-0.07024,-0.13581,0.13227,-0.15313,-0.14567,0.01976,-0.05394,0.10622,0.03726,0.08304,0.13262000000000002,-0.05796000000000001,-0.2444,-0.14702,-0.18553,0.02268,-0.040760000000000005,0.07811,0.10058,-0.2041,-0.08148999999999999,0.0192,-0.00132,0.03053,-0.00152,0.22829,-0.05283,-0.25551,-0.1582,0.10534,0.26368,0.16444,5e-05,-0.01336,-0.04993,0.05011,-0.13924,-0.01834,0.14128,0.049530000000000005,0.05317,-0.01546,-0.16979,0.07728,0.03442,-0.16332,0.0221,0.0549,-0.18114,-0.03465,0.054820000000000015,0.26437,-0.01001,-0.08713,-0.19048,0.20935,-0.26222,-0.04717,0.11853,-0.15556,-0.10317,-0.27422,-0.10418,0.4341600000000001,0.05997,-0.09879,0.16097,-0.20433,0.01352,0.04103,0.14657,0.03382,0.11249,-0.1122,-0.034710000000000005,0.15627,-0.10819,-0.04005,0.21715,-0.04252,0.02276,0.047810000000000005,0.00964,-0.052000000000000005,0.03559,-0.10422,0.01124,-0.014130000000000004,-0.03809,-0.00384,0.08832000000000001,-0.22833,0.09769,0.02822,0.00242,-0.053860000000000005,0.00406,-0.10885999999999997,-0.10745,0.17601,-0.23067,0.24499,0.15595,-0.017730000000000003,0.16108,0.03495,0.10668,-0.01372,-0.09299,-0.12594,-0.02755,0.07257000000000001,-0.09529,0.06138,0.0007700000000000001
12,Empire_S04E06,764.0,Lucious,721.721,0.386,0.16899999999999998,0.5539999999999999,0.468,forward+backward,-0.1347,0.06637,0.15643,0.02804,0.00788,-0.06525,-0.0566,-0.13438,0.13517,-0.08882000000000001,0.26308000000000004,-0.00415,-0.09872,-0.18587,0.09163,0.1047,-0.1411,-0.12222,-0.02101,-0.03893,0.0168,-0.01369,0.06057000000000001,-0.00465,-0.11937,-0.35665,-0.12238,-0.17013,0.05367,-0.03369,-0.00993,0.03243,-0.16756,-0.02954,-0.04486,0.10846,-0.053,-0.02557,0.07856,-0.029110000000000007,-0.11235,-0.01948,-0.04431,0.20451,0.19994,0.05277,0.10056,-0.09147,0.0494,-0.16551,0.03333,0.08522,0.10203,0.09147,0.03272,-0.11803,0.09335,0.034710000000000005,-0.1948,0.07462,0.07119,-0.04929,-0.06305,0.09791,0.30066,0.13696,-0.09261,-0.1683,0.11951,-0.12599000000000002,-0.06542,0.1384,-0.1464,-0.17051,-0.23664,0.056379999999999986,0.4497600000000001,0.039,-0.23056,-0.00634,-0.16674,0.0026100000000000003,0.09637,0.09632,-0.03921,-0.05684,-0.18072,-0.03664,0.18612,-0.03791,-0.03509,0.16117,0.0369,0.03592,0.00759,0.00663,-0.03288,0.0642,-0.06683,-0.11901,0.05793,0.00783,-0.06379,0.05888,-0.15012,0.24298000000000006,0.0332,0.01694,0.05515,-0.04121,-0.05391,-0.03576,0.12055,-0.26404,0.16359,0.18095,0.08546000000000001,0.1695,0.01402,0.13003,-0.05315,-0.01259,-0.17149,0.01208,0.00999,-0.01174,-0.00918,0.02153
